"Location","String Value"
"800035e4","Metrowerks Target Resident Kernel for PowerPC"
"801f0dc0","MESGbmg1"
"801f0de0","INF1"
"801f0e20","DAT1"
"801f0e29","ディスクを読み込んでいます。"
"801f0e46","ディスクカバーが開いています。
ゲームを続ける場合は
ディスクカバーを閉めてください。"
"801f0e9b","「ゼルダの伝説〜４つの剣＋〜」の
ディスクをセットしてください。"
"801f0edb","「ゼルダの伝説〜４つの剣＋〜」の
ディスクをセットしてください。"
"801f0f1b","ディスクを読めませんでした。
くわしくは、本体の取扱説明書をお読みください。"
"801f0f67","エラーが発生しました。
本体のパワーボタンを押して電源をOFFにし
本体の取扱説明書の指示に従ってください。"
"80244c58","ＢＩＮＧＯ開始"
"80244c68","ＢＩＮＧＯ終了"
"80244c78","ＢＩＮＧＯ（要求）　リーチ %dP"
"80244c98","ＢＩＮＧＯ（要求）　ＢＩＮＧＯ %dP"
"80244cbc","ＢＩＮＧＯ（要求）　穴あけた %dP"
"80244ce0","ＢＩＮＧＯ（ボールセット）"
"80244cfc","ＢＩＮＧＯ（ボールセット・ラスト）"
"80245d96"," %d %d %d %d"
"80246310","dEvt_HIO_c"
"8024631c","JORReflexible"
"8024632c","mDoHIO_entry_c"
"80246367","0dEvt_tincalHIO_c"
"80246394","dEvt_hataHIO_c"
"802463bc","dEvt_tetoraHIO_c"
"802463e8","dEvt_quiz1HIO_c"
"8024640f","XdEvt_bingo1HIO_c"
"8024643c","dEvt_tranHIO_c"
"80246468","rock_24_20_4i_j.bfn"
"8024647c","d_message.cpp"
"8024648c","mTxtFont != 0"
"8024649c","rodb_16_11_4i.bfn"
"802464b0","mRubFont != 0"
"802464c0","rock_24_20_4i_Num.bfn"
"802464d8","mNumFont != 0"
"802464e8","message.bmg"
"80246534","it_emojiGoast_00.bti"
"8024654c","it_emojiBikkuri_00.bti"
"80246564","it_emojiRoulette_00.bti"
"8024657c","it_emojiGBA_00.bti"
"80246590","it_emojiB_00.bti"
"802465a4","it_emojiStart_00.bti"
"802465bc","it_emojiA_00.bti"
"802465d0","it_emojiCheck_00.bti"
"802465e8","it_emojiKey_00.bti"
"802465fc","it_emojiR_00.bti"
"80246610","it_emojiL_00.bti"
"80246624","it_emojiSelect_00.bti"
"80246678","message.bmc"
"802466a0","spc_test"
"802469ac","tx_snow01.i8"
"802469bc","txa_ring_a_32hafe.bti"
"802469d4","dScnKy_env_light_c"
"802469f3","4dKaky_wave_Packet"
"80246a08","J3DPacket"
"80246a34","dKaky_vrkumo_Packet"
"80246a68","dKaky_snow_Packet"
"80246a9c","dKaky_rain_Packet"
"80246ad0","dKaky_sunlenz_Packet"
"80246b08","dKaky_sun_Packet"
"80246b58","txa_usonami_256_64mip.bti"
"80246b74","txa_usonami_m_256_64mip.bti"
"80246b90","cloudtx_01.bti"
"80246ba0","cloudtx_02.bti"
"80246bb0","cloudtx_03.bti"
"80246bd8","d_particle.cpp"
"80246be8","mModelData != 0"
"80246bf8","i_modelData != 0"
"80246c0c","i_emitter != 0"
"80246c1c","i_emitter->getUserWork() < mNum"
"80246c48","g_particle != 0"
"80246c58","mHeap != 0"
"80246c64","AK_kagerouSwap00"
"80246c78","mCommonResMng != 0"
"80246c8c","mEmitterMng != 0"
"80246ca0","mSceneHeap != 0"
"80246cb0","mSceneResMng != 0"
"80246cc4","i_no != mSceneNo"
"80246cd8","/tetora/res/Particle/Pscene%03d.jpc"
"80246cfc","[43;30m１エミッター登録数オーバー！！
"
"80246d24","dPa_bombSmokeEcallBack"
"80246d3c","JPAEmitterCallBack"
"80246d50","dPa_levelEcallBack"
"80246da4","dPa_kageroEcallBack"
"80246de0","dPa_windPcallBack"
"80246df4","JPAParticleCallBack"
"80246e28","dPa_simpleEcallBack"
"80246e64","dPa_selectTexEcallBack"
"80246eb0","dPa_modelEcallBack"
"80246ef8","dPa_modelPcallBack"
"80246f2c","dPa_smokePcallBack"
"80246f60","dPa_smokeEcallBack"
"80246f74","dPa_followEcallBack"
"8024703c","dPaHIO_c"
"80247048","JORReflexible"
"80247058","mDoHIO_entry_c"
"802470a0","dPa_setColorEcallBack"
"80247100","dKyHIO_c"
"8024710c","JORReflexible"
"8024711c","mDoHIO_entry_c"
"80247157","<dKyHIO_color_c"
"80247180","dKyHIO_shadow_c"
"802471a7","ddKyHIO_sea_c"
"802471d0","dKyHIO_kumo_c"
"802471f8","dDrawHIO_c"
"80247204","JORReflexible"
"80247214","mDoHIO_entry_c"
"80247250","dDrawHIO_other_c"
"80247280","d_HanHIO_c"
"8024728c","JORReflexible"
"8024729c","mDoHIO_entry_c"
"802472d7","hdaStr_childHIO_c"
"802472ec","JORReflexible"
"80247314","daItm_HIO_c"
"80247338","daOPShip_HIO_c"
"80247360","daBall_childHIO_c"
"8024738b","|daTubo_childHIO_c"
"802473b8","daOPShip_childHIO_c"
"802473e4","daOTls_childHIO_c"
"80247410","daMkr_childHIO_c"
"8024743c","daKam_childHIO_c"
"80247467","TdaORlt_HIO_c"
"8024748f","TdaMntr_HIO_c"
"802474b8","daKam_HIO_c"
"802474dc","daMkr_HIO_c"
"802474ff","\,daShima_HIO_c"
"80247528","daOTls_HIO_c"
"8024754f","tdaNpcTc_HIO_c"
"80247577","\,daTubo_HIO_c"
"8024759f","TdaBall_HIO_c"
"802475c8","dObj_HIO_c"
"802475d4","mDoHIO_entry_c"
"8024760f","ddReg_childHIO_c"
"80247620","JORReflexible"
"80247647","|dReg_HIO_c"
"80247654","mDoHIO_entry_c"
"80249704","---参加者なし---
"
"80249718","リザルト開始
"
"80249728","スタンプ画面表示
"
"8024973c","スタンプ数表示
"
"8024974c","コース追加
"
"80249758","結果発表
"
"80249764","個人成績
"
"80249770","ボーナス加算
"
"80249780","１位誰？
"
"8024978c","１位表示：%dP
"
"8024979c","１位４人
"
"802497a8","１位３人
"
"802497b4","１位２人
"
"802497c0","１位１人
"
"802497cc","チンクルコメント(%d)
"
