"Location","String Value"
"80469688","boss_koori_rakkago_01.bti"
"804696a4","boss_koori_rakkago_02.bti"
"804696c0","boss_koori_rakkago_03.bti"
"804696dc","boss_koori_rakkago_04.bti"
"804696f8","boss_koori_tobumade_01.bti"
"80469714","boss_koori_tobumade_02.bti"
"80469730","boss_koori_tobumade_03.bti"
"8046974c","boss_koori_tobumade_04.bti"
"80469768","boss_koori_tobumade_05.bti"
"80469784","boss_koori_tobumade_06.bti"
"804697a0","boss_koori_tobumade_07.bti"
"80469804","boss_koori_tsuiraku_01.bti"
"80469820","boss_koori_tsuiraku_02.bti"
"8046983c","boss_koori_tsuiraku_03.bti"
"80469858","boss_koori_tsuiraku_04.bti"
"80469874","boss_koori_tsuiraku_05.bti"
"80469890","boss_koori_tsuiraku_06.bti"
"804698ac","boss_koori_tsuiraku_07.bti"
"804698c8","boss_koori_tsuiraku_08.bti"
"804698e4","boss_koori_tsuiraku_09.bti"
"80469900","boss_koori_tsuiraku_10.bti"
"8046991c","boss_koori_tsuiraku_11.bti"
"804672b8","boss_p_d_01.bti"
"804672c8","boss_p_d_02.bti"
"804672d8","boss_p_d_03.bti"
"804672e8","boss_p_d_04.bti"
"804672f8","boss_p_d_05.bti"
"80467308","boss_p_d_06.bti"
"80467318","boss_p_d_07.bti"
"80467328","boss_p_d_08.bti"
"80467338","boss_p_d_09.bti"
"80467348","boss_p_d_10.bti"
"80467358","boss_p_d_fly_01.bti"
"8046736c","boss_p_d_fly_02.bti"
"80467380","boss_p_d_fly_03.bti"
"80467394","boss_p_d_fly_04.bti"
"804673a8","boss_p_d_fly_05.bti"
"804673bc","boss_p_d_fly_06.bti"
"80467068","boss_p_fly_01.bti"
"8046707c","boss_p_fly_02.bti"
"80467090","boss_p_fly_03.bti"
"804670a4","boss_p_fly_04.bti"
"804671b8","boss_p_haki_01.bti"
"804671cc","boss_p_haki_02.bti"
"804671e0","boss_p_haki_03.bti"
"804671f4","boss_p_haki_04.bti"
"80467208","boss_p_haki_05.bti"
"8046721c","boss_p_haki_06.bti"
"80467230","boss_p_haki_07.bti"
"80467244","boss_p_haki_08.bti"
"80467258","boss_p_haki_loop_01.bti"
"80467270","boss_p_haki_loop_02.bti"
"80467288","boss_p_haki_loop_03.bti"
"804672a0","boss_p_haki_loop_04.bti"
"804673e4","boss_p_odoroki_1.bti"
"804673fc","boss_p_odoroki_2.bti"
"80467414","boss_p_odoroki_3.bti"
"8046742c","boss_p_odoroki_4.bti"
"80467444","boss_p_odoroki_5.bti"
"8046745c","boss_p_odoroki_6.bti"
"80467474","boss_p_odoroki_fly_1.bti"
"80467490","boss_p_odoroki_fly_2.bti"
"804674ac","boss_p_odoroki_fly_3.bti"
"804674c8","boss_p_rantan.bti"
"804670b8","boss_p_sui_01.bti"
"804670cc","boss_p_sui_02.bti"
"804670e0","boss_p_sui_03.bti"
"804670f4","boss_p_sui_04.bti"
"80467108","boss_p_sui_05.bti"
"8046711c","boss_p_sui_06.bti"
"80467130","boss_p_sui_07.bti"
"80467144","boss_p_sui_08.bti"
"80467158","boss_p_sui_loop_01.bti"
"80467170","boss_p_sui_loop_02.bti"
"80467188","boss_p_sui_loop_03.bti"
"804671a0","boss_p_sui_loop_04.bti"
"804673d0","boss_p_sui_mask.bti"
"8046c83c","BRBL"
"8045e8f4","BREAK POINT"
"804983a8","Broadband Adapter"
"8046da08","BTI_boss_d.bti"
"8046da18","BTI_boss_e.bti"
"8046da28","BTI_boss_f.bti"
"8046da38","BTI_boss_g.bti"
"8046da48","BTI_boss_h.bti"
"8046da58","BTI_boss_i.bti"
"80464210","BZBR"
"80464ce4","BZBR"
"8046f3b4","BZBR"
"80490f67","c/GC4Sword_usa/staff/staff%d.arc"
"8045db8c","CALLING EXI2_Init
"
"8045dc6c","CALLING EXI2_Init
"
"8045d880","Calling MessageSend
"
"8045e210","cannot close DVD file
"
"8045c660","cannot new Se %08x."
"8045dad8","cc not initialized
"
"8045dbb8","cc not initialized
"
"8045db5c","cc_read : error reading bytes from EXI2 %ld
"
"8045dc3c","cc_read : error reading bytes from EXI2 %ld
"
"8045daec","cc_write : Output data 0x%08x %ld bytes
"
"8045dbcc","cc_write : Output data 0x%08x %ld bytes
"
"8045db18","cc_write sending %ld bytes
"
"8045dbf8","cc_write sending %ld bytes
"
"8045e7a0","check: bad total memory block size (%08X\, %08X)
"
"8045e820","check: bad total memory block size (%08X\, %08X)
"
"8046dac4","chijo_e.bti"
"80465e28","circle.bti"
"804661b0","circle.bti"
"804711c8","circle.bti"
"804661bc","circle2.bti"
"804711e4","circle2.bti"
"8046e178","CKSW"
"804711f0","client_thread.bin"
"80466504","cloudShadowFilter00.bmd"
"80466534","cloudShadowFilter00.brk"
"8046651c","cloudShadowFilter00.btk"
"80491428","collect.blo"
"80491460","collect.brk"
"80491434","collect.btk"
"80491440","collect_02.btk"
"80491450","collect_03.btk"
"8049567c","Console Type : "
"8045ea3c","CONTEXT:%08XH  (%s EXCEPTION)
"
"8045ea5c","CONTEXT:%08XH
"
"8046e918","cu_cl_obj_base_scl.szs"
"804756a0","cu_cl_obj_base_scl.szs"
"80476084","cu_cl_obj_base_scl.szs"
"804761d0","cu_cl_obj_base_scl.szs"
"80476e88","cu_cl_obj_base_scl.szs"
"804778dc","cu_cl_obj_base_scl.szs"
"8048f8ec","d01f.bti"
"8048f8f8","d02f.bti"
"8048f904","d03f.bti"
"8048f910","d04f.bti"
"8048f91c","d05f.bti"
"8048f928","d06f.bti"
